Week,Winner,Loser
0,NAU,UNCO
0,WEB,UTU
0,TLNE,FSU
0,ND,BC
0,LOU,MEMP
0,SAM,UTM
0,YSU,WIU
0,VMI,NORF
0,UTC,APSU
0,ETSU,MCN
0,CIT,HCU
0,SMU,RUTG
0,SSU,CCSU
0,CINC,MIAO
0,MIAF,FLA
0,ECU,NW
0,SDSU,OHST
0,MISS,JXST
0,FRES,CCU
0,UIW,NICH
0,ELON,IDHO
0,USF,UCF
0,WMU,MICH
0,BAMA,ALST
0,RICH,MORG
0,BCU,SCST
0,SHU,FOR
0,FAMU,SFPA
0,UVA,GASO
1,DEL,DSU
1,ODU,MOST
1,JST,GAST
1,ULM,SHSU
1,WKU,USM
1,USAF,TLDO
1,ND,ARMY
1,MINN,UTEP
1,CAL,NEV
1,SHU,HARV
1,NEB,KENT
1,IOWA,AKRN
1,SDSU,UCLA
1,MTSU,NW
1,PNST,LAF
1,ILST,WAG
1,SEMO,UAPB
1,APSU,NWST
1,CARK,MCN
1,HAMP,VAL
1,ALST,NCAT
1,HC,STBK
1,SDAK,BRWN
1,COR,STMN
1,SFPA,DART
1,PENN,VILL
1,BUT,LIU
1,RMU,SELA
1,SFA,STO
1,MORE,PV
1,SOU,VMI
1,MSVU,FUR
1,CLEM,ZONA
1,ILLI,USF
1,WVU,PITT
1,TULS,IND
1,BYU,UTEP
1,TTU,UMD
1,MIAF,UGA
1,BAYL,OKLA
1,TXST,ARST
1,LSU,OHST
1,WISC,NDSU
1,MIST,WAKE
1,IDHO,SSU
1,USC,IDST
1,BAMA,FAU
1,IAST,BUFF
1,BGSU,CINC
1,VT,AZST
1,TROY,LU
1,EMU,APST
1,CONN,MASS
1,TENN,UNT
1,USD,CP
1,UNI,DRKE
1,GT,USA
1,CCU,MIZZ
1,SJSU,MSST
1,UHOU,TEX
1,ULL,SMU
1,UTSA,MIAO
1,DUKE,ARK
1,NCST,SOCA
1,UVA,TAMU
1,RICE,LAM
1,TEMP,MRCY
1,UAB,AUB
1,VAND,TNST
1,CHSO,ELON
1,MUR,EKU
1,MRMK,EIU
1,MER,WEBB
1,SIU,LIN
1,UTC,TNTC
1,UTM,HOW
1,WIU,W&M
1,TOW,MORG
1,NCCU,UWG
1,BUCK,UCD
1,DAY,PRST
1,UND,EWU
1,UNCO,ALB
1,WEB,COLU
1,WCU,NAU
1,SUU,SDST
1,STET,UTU
1,ME,MRST
1,TXSO,DAV
1,STAN,ETAM
1,UNC,UTAH
1,CSU,CHAR
1,OKST,CMU
1,UTST,UNM
1,WAST,HAWI
1,UNLV,OREG
1,WASH,MONT
1,NIU,MRSH
1,PURD,INST
1,CAMP,URI
1,BC,UKEN
1,OHIO,MISS
1,TLNE,WYOM
1,ORST,JMU
1,BOIS,LT
1,CUSE,COLG
1,FAMU,ETSU
1,AAMU,UNA
1,LEH,YSU
1,UIW,ACU
1,TAR,RGV
1,BRY,MTST
1,MONM,ALCN
1,YALE,UNH
1,PRIN,GEOT
1,WOF,DUQ
1,HCU,GRAM
2,TULS,UNC
2,TLNE,WMU
2,BGSU,OHST
2,MASS,LT
2,FIU,AKRN
2,KENT,MOST
2,WKU,CMU
2,CIT,CP
2,EIU,DRKE
2,BALL,CSU
2,USF,FAMU
2,BC,CCU
2,KSST,MEMP
2,TCU,OHIO
2,JMU,WYOM
2,GASO,NEV
2,ULM,FUR
2,VILL,ODU
2,ARST,CARK
2,USA,UNA
2,MIAO,FRES
2,CHAR,WCU
2,FAU,STET
2,VAND,TEMP
2,UAB,AAMU
2,NCAT,EKU
2,COR,YSU
2,ILST,HC
2,APSU,CHSO
2,NORF,WEBB
2,SUU,SEMO
2,ETSU,TNST
2,TNTC,BCU
2,MTST,WIU
2,MORG,UTU
